month,energy_kwh,load_factor,hours,estimated_max_demand_kva,estimated_total_bill_usd,effective_average_tariff_usd_per_kwh
Sep 2025,529580.0,0.6,720,1225.88,85156.46,0.1608
Oct 2025,565430.0,0.6,744,1266.64,90921.14,0.1608
Nov 2025,522210.0,0.6,720,1208.82,83971.37,0.1608
Dec 2025,436671.0,0.53,744,1107.4,70216.7,0.1608
Jan 2026,315129.0,0.57,744,743.09,50672.74,0.1608
Feb 2026,334464.0,0.48,672,1036.9,53781.81,0.1608
Mar 2026,539560.0,0.59,744,1229.18,86761.25,0.1608
Apr 2026,510294.0,0.58,720,1221.97,82055.28,0.1608
